# Age (lower edge),Age (upper edge),Log Gross Income (lower edge),Log Gross Income (upper edge),Probability
65,75,10.84022765,11.01940496,0.094676273
65,75,11.01940496,11.19858228,0.086631341
65,75,11.19858228,11.37775959,0.058167609
65,75,11.37775959,11.55693691,0.040002493
65,75,11.55693691,11.73611423,0.025494932
65,75,11.73611423,11.91529154,0.023692477
65,75,11.91529154,12.09446886,0.003130643
65,75,12.09446886,12.27364618,0.007167594
65,75,12.27364618,12.45282349,0.001144599
65,75,12.45282349,12.63200081,0.001733726
65,75,12.63200081,12.81117813,0.002582151
65,75,12.81117813,12.99035544,0
65,75,12.99035544,13.16953276,0
65,75,13.16953276,13.34871008,0
65,75,13.34871008,13.52788739,0
65,75,13.52788739,13.70706471,0
65,75,13.70706471,13.88624202,0
65,75,13.88624202,14.06541934,0
75,85,9.58598643,9.765163746,0.177725325
75,85,9.765163746,9.944341063,0.056754954
75,85,9.944341063,10.12351838,0.040137603
75,85,10.12351838,10.3026957,0.05981609
75,85,10.3026957,10.48187301,0.16222542
75,85,10.48187301,10.66105033,0.101780779
75,85,10.66105033,10.84022765,0.083384951
75,85,10.84022765,11.01940496,0.135077892
75,85,11.01940496,11.19858228,0.057784333
75,85,11.19858228,11.37775959,0.043047081
75,85,11.37775959,11.55693691,0.031171607
75,85,11.55693691,11.73611423,0.030171576
75,85,11.73611423,11.91529154,0.005737914
75,85,11.91529154,12.09446886,0.007940519
75,85,12.09446886,12.27364618,0.005706064
75,85,12.27364618,12.45282349,0
75,85,12.45282349,12.63200081,0
75,85,12.63200081,12.81117813,0
75,85,12.81117813,12.99035544,0
75,85,12.99035544,13.16953276,0
75,85,13.16953276,13.34871008,0
75,85,13.34871008,13.52788739,0
75,85,13.52788739,13.70706471,0.001537891
75,85,13.70706471,13.88624202,0
75,85,13.88624202,14.06541934,0
85,95,9.58598643,9.765163746,0.177725325
85,95,9.765163746,9.944341063,0.056754954
85,95,9.944341063,10.12351838,0.040137603
85,95,10.12351838,10.3026957,0.05981609
85,95,10.3026957,10.48187301,0.16222542
85,95,10.48187301,10.66105033,0.101780779
85,95,10.66105033,10.84022765,0.083384951
85,95,10.84022765,11.01940496,0.135077892
85,95,11.01940496,11.19858228,0.057784333
85,95,11.19858228,11.37775959,0.043047081
85,95,11.37775959,11.55693691,0.031171607
85,95,11.55693691,11.73611423,0.030171576
85,95,11.73611423,11.91529154,0.005737914
85,95,11.91529154,12.09446886,0.007940519
85,95,12.09446886,12.27364618,0.005706064
85,95,12.27364618,12.45282349,0
85,95,12.45282349,12.63200081,0
85,95,12.63200081,12.81117813,0
85,95,12.81117813,12.99035544,0
85,95,12.99035544,13.16953276,0
85,95,13.16953276,13.34871008,0
85,95,13.34871008,13.52788739,0
85,95,13.52788739,13.70706471,0.001537891
85,95,13.70706471,13.88624202,0
85,95,13.88624202,14.06541934,0
